iter	Passed	Remaining
684	31019	14264
685	31066	14220
686	31111	14174
687	31160	14130
688	31217	14090
689	31283	14054
690	31339	14014
691	31390	13971
692	31445	13930
693	31494	13886
694	31540	13841
695	31592	13798
696	31643	13755
697	31711	13720
698	31763	13677
699	31823	13638
700	31882	13599
701	31947	13561
702	32015	13525
703	32069	13483
704	32125	13442
705	32166	13395
706	32209	13348
707	32258	13304
708	32317	13264
709	32353	13214
710	32398	13169
711	32446	13124
712	32496	13080
713	32547	13037
714	32606	12996
715	32646	12949
716	32696	12905
717	32744	12860
718	32794	12816
719	32847	12774
720	32893	12728
721	32957	12690
722	33011	12647
723	33064	12604
724	33125	12564
725	33176	12521
726	33237	12481
727	33291	12438
728	33356	12399
729	33408	12356
730	33464	12314
731	33508	12268
732	33556	12223
733	33614	12181
734	33665	12137
735	33719	12095
736	33762	12048
737	33810	12003
738	33853	11956
739	33895	11909
740	33941	11863
741	34018	11828
742	34086	11790
743	34145	11749
744	34200	11706
745	34258	11664
746	34308	11619
747	34355	11574
748	34394	11526
749	34453	11484
750	34513	11443
751	34560	11397
752	34604	11350
753	34650	11305
754	34699	11260
755	34753	11216
756	34805	11172
757	34854	11127
758	34901	11082
759	34953	11037
760	34998	10991
761	35156	10980
762	35227	10942
763	35281	10898
764	35322	10850
765	35376	10806
766	35431	10763
767	35485	10719
768	35548	10678
769	35604	10635
770	35667	10593
771	35724	10550
772	35784	10508
773	35844	10466
774	35906	10424
775	35972	10383
776	36036	10342
777	36083	10296
778	36166	10260
779	36225	10217
780	36275	10172
781	36332	10128
782	36392	10085
783	36447	10041
784	36505	9998
785	36563	9955
786	36617	9910
787	36671	9865
788	36718	9819
789	36757	9771
790	36823	9729
791	36870	9683
792	36928	9639
793	36992	9597
794	37049	9553
795	37107	9510
796	37161	9465
797	37221	9421
798	37279	9378
799	37338	9334
800	37389	9288
801	37450	9245
802	37516	9203
803	37578	9161
804	37642	9118
805	37714	9077
806	37770	9033
807	37816	8986
808	37861	8938
809	37912	8893
810	37972	8849
811	38031	8805
812	38084	8760
813	38137	8714
814	38204	8672
815	38291	8634
816	38347	8589
817	38395	8542
818	38457	8499
819	38513	8454
820	38569	8409
821	38615	8362
822	38662	8315
823	38716	8269
824	38767	8223
825	38820	8177
826	38871	8131
827	38935	8088
828	39001	8044
829	39053	7998
830	39105	7952
831	39172	7909
832	39231	7865
833	39296	7821
834	39338	7773
835	39379	7725
836	39441	7680
837	39498	7635
838	39557	7590
839	39606	7544
